A_INT_id	A_STR_magic_path	A_INT_color
0	Assets/Loop/Res/Prefab/Prop/BurningBloodProp.prefab	3
1	Assets/Loop/Res/Prefab/Prop/AsteroidProp.prefab	3
2	Assets/Loop/Res/Prefab/Prop/CoalBlockProp.prefab	2
3	Assets/Loop/Res/Prefab/Prop/SadOnionProp.prefab	2
4	Assets/Loop/Res/Prefab/Prop/InnerEyeProp.prefab	3
5	Assets/Loop/Res/Prefab/Prop/SpoonBenderProp.prefab	-1
6	Assets/Loop/Res/Prefab/Prop/CricketHeadProp.prefab	2
7	Assets/Loop/Res/Prefab/Prop/MyReflectionProp.prefab	-1
8	Assets/Loop/Res/Prefab/Prop/NumberOneProp.prefab	2
9	Assets/Loop/Res/Prefab/Prop/BloodMartyProp.prefab	2
10	Assets/Loop/Res/Prefab/Prop/BrotherBobbyProp.prefab	0
11	Assets/Loop/Res/Prefab/Prop/SkatoleProp.prefab	2
12	Assets/Loop/Res/Prefab/Prop/HaloFliesProp.prefab	0
13	Assets/Loop/Res/Prefab/Prop/OneUpProp.prefab	0
14	Assets/Loop/Res/Prefab/Prop/MagicMushroomProp.prefab	0
15	Assets/Loop/Res/Prefab/Prop/TheVirusProp.prefab	2
16	Assets/Loop/Res/Prefab/Prop/RoidRageProp.prefab	0
17	Assets/Loop/Res/Prefab/Prop/HeartProp.prefab	0
18	Assets/Loop/Res/Prefab/Prop/RawLiverProp.prefab	2
19	Assets/Loop/Res/Prefab/Prop/SkeletonKeyProp.prefab	-1
20	Assets/Loop/Res/Prefab/Prop/ADollarProp.prefab	3
21	Assets/Loop/Res/Prefab/Prop/BoomProp.prefab	-2
22	Assets/Loop/Res/Prefab/Prop/TranscendenceProp.prefab	3
23	Assets/Loop/Res/Prefab/Prop/CompasProp.prefab	3
24	Assets/Loop/Res/Prefab/Prop/DinnerProp.prefab	2
25	Assets/Loop/Res/Prefab/Prop/DessertProp.prefab	1
26	Assets/Loop/Res/Prefab/Prop/BreakfastProp.prefab	2
27	Assets/Loop/Res/Prefab/Prop/RottenMeatProp.prefab	3
28	Assets/Loop/Res/Prefab/Prop/WoodenSpoonProp.prefab	0
29	Assets/Loop/Res/Prefab/Prop/BeltProp.prefab	1
30	Assets/Loop/Res/Prefab/Prop/UnderwearProp.prefab	2
31	Assets/Loop/Res/Prefab/Prop/HeelsProp.prefab	3
32	Assets/Loop/Res/Prefab/Prop/DoubleAstingProp.prefab	-2
33	Assets/Loop/Res/Prefab/Prop/HangerProp.prefab	-2
34	Assets/Loop/Res/Prefab/Prop/BibleProp.prefab	0
35	Assets/Loop/Res/Prefab/Prop/BelialProp.prefab	1
36	Assets/Loop/Res/Prefab/Prop/NecronomiconProp.prefab	2
37	Assets/Loop/Res/Prefab/Prop/PoopProp.prefab	3
38	Assets/Loop/Res/Prefab/Prop/CopyProp.prefab	-2
39	Assets/Loop/Res/Prefab/Prop/LiziProp.prefab	-2
40	Assets/Loop/Res/Prefab/Prop/TanlanGhostProp.prefab	1
41	Assets/Loop/Res/Prefab/Prop/FuzhouProp.prefab	1
42	Assets/Loop/Res/Prefab/Prop/ExplosiveBowProp.prefab	2
43	Assets/Loop/Res/Prefab/Prop/HealingBeadProp.prefab	1
44	Assets/Loop/Res/Prefab/Prop/SoftEelArmorProp.prefab	1
