A_INT_id	A_STR_desc	A_STR_option_one	A_STR_option_two	A_STR_option_three	A_STR_option_four
0	光合作用主要发生在植物的哪个部位？	叶绿体	细胞核	细胞壁	线粒体
1	地球的自转方向是什么？	从西向东	从东向西	从南向北	从北向南
2	在化学反应中，哪种物质是氧化剂？	被还原的物质	被氧化的物质	使其他物质氧化的物质	使其他物质还原的物质
3	光合作用主要发生在植物的哪个部位？	叶绿体	细胞核	细胞壁	液泡
4	在计算机科学中，哪个术语描述了数据的最小可寻址单位？	位	字节	字	段
5	在化学反应中，哪种物质通常被用来表示反应物的消耗？	反应物	催化剂	产物	溶剂
6	在物理学中，哪个定律描述了电荷之间的相互作用？	库仑定律	欧姆定律	法拉第电磁感应定律	牛顿运动定律
7	牛顿第二定律描述了什么关系？	力和加速度的关系	力和质量的关系	加速度和时间的关系	质量与速度的关系
8	以下哪个元素是惰性气体？	氦（He）	氧（O）	碳（C）	铁（Fe）
9	著名的“薛定谔的猫”思想实验涉及哪个科学领域？	量子力学	经典力学	热力学	天体物理学
10	我是不是世界上最帅的人？	肯定是	不要脸	不是	不知道
